rank_by_apps,name,appearances,goals,position,nationality,born,player_id
1,James Milner,658,56,Left/Centre/Right Central Midfielder,England,4 January 1986,340458
2,Gareth Barry,653,53,Centre Central Midfielder,England,23 February 1981,52234
3,Ryan Giggs,632,109,Left/Centre Central Midfielder,Wales,29 November 1973,323
4,Frank Lampard,609,177,Attacking Midfielder,England,20 June 1978,143319
5,David James,572,0,Goalkeeper,England,1 August 1970,55236
6,Gary Speed,535,80,Midfielder,Wales,8 September 1969,30153
7,Emile Heskey,516,110,Centre Striker,England,11 January 1978,14283
8,Mark Schwarzer,514,0,Goalkeeper,Australia,6 October 1972,13977
9,Jamie Carragher,508,3,Defender,England,28 January 1978,143184
10,Phil Neville,505,9,Centre Defensive Midfielder,England,21 January 1977,3869
11,Steven Gerrard,504,120,Midfielder,England,30 May 1980,55247
12,Rio Ferdinand,504,11,Defender,England,7 November 1978,54994
13,Sol Campbell,503,20,Centre Central Defender,England,18 September 1974,5768
14,Paul Scholes,499,107,Centre Central Midfielder,England,16 November 1974,324
15,Jermain Defoe,496,162,Centre Striker,England,7 October 1982,303240
16,John Terry,492,41,Centre Central Defender,England,7 December 1980,47414
17,Wayne Rooney,491,208,Centre Second Striker,England,24 October 1985,172398
18,Ashley Young,485,50,Right Full Back,England,9 July 1985,738971
19,Michael Carrick,481,24,Centre Central Midfielder,England,28 July 1981,4242
20,Sylvain Distin,469,7,Centre Central Defender,France,16 December 1977,18714
21,Peter Crouch,468,108,Centre Striker,England,30 January 1981,154344
22,Jordan Henderson,463,34,Midfielder,England,17 June 1990,790521
23,Aaron Hughes,455,5,Centre Central Defender,Northern Ireland,8 November 1979,122564
24,Brad Friedel,450,1,Goalkeeper,United States,18 May 1971,6178
25,Shay Given,450,0,Goalkeeper,Ireland,20 April 1976,20166
26,Kyle Walker,446,8,Right Full Back,England,28 May 1990,738114
27,John O'Shea,445,13,Centre Central Defender,Ireland,30 April 1981,130648
28,Kevin Davies,444,88,Centre Striker,England,26 March 1977,11879
29,Petr Cech,443,0,Goalkeeper,Czech Republic,20 May 1982,266361
30,Alan Shearer,441,260,Forward,England,13 August 1970,1440
31,Jussi Jääskeläinen,436,0,Goalkeeper,Finland,19 April 1975,20384
32,Richard Dunne,431,11,Centre Central Defender,Ireland,21 September 1979,11886
33,Gareth Southgate,426,17,Defender,England,3 September 1970,2732
34,James Ward-Prowse,422,57,Centre Central Midfielder,England,1 November 1994,775917
35,Leighton Baines,420,32,Left Full Back,England,11 December 1984,4600
36,Teddy Sheringham,418,146,Centre Second Striker,England,2 April 1966,110022
37,Danny Murphy,417,50,Centre Central Midfielder,England,18 March 1977,4624
38,Aaron Lennon,416,36,Right Winger,England,16 April 1987,288361
39,David de Gea,415,0,Goalkeeper,Spain,7 November 1990,364040
40,Andrew Cole,414,187,Forward,England,15 October 1971,4848
